steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
1,0.001,56.33377289772034,2143,True,14.0,21.0,374
2,0.0001,165.4312870502472,796,True,14.0,14.0,478
3,0.001,236.729838848114,982,True,14.0,14.0,523
1,0.01,57.50097990036011,163,False,14.0,14.0,291
2,0.0001,161.3444061279297,202,False,14.0,14.0,93
3,0.001,249.16437602043152,542,False,14.0,0.0,222
2,0.0001,219.75621104240417,415,False,14.0,0.0,211
2,0.01,78.08452916145325,2436,True,14.0,14.0,2413
1,0.001,37.163017988204956,1378,False,14.0,70.0,275
1,0.01,36.3735191822052,955,True,14.0,14.0,700
2,0.0001,154.05474996566772,265,False,14.0,14.0,109
3,0.01,136.78258609771729,618,False,14.0,35.0,217
3,0.01,116.04456496238708,483,True,14.0,14.0,241
2,0.0001,242.71402764320374,1245,True,14.0,14.0,1051
1,0.001,42.371031045913696,927,True,14.0,14.0,648
2,0.0001,230.42024970054626,1843,True,14.0,21.0,354
2,0.001,162.56807494163513,2008,True,14.0,14.0,407
1,0.01,29.18604302406311,712,True,14.0,14.0,498
1,0.0001,45.22943735122681,367,True,14.0,14.0,219
2,0.0001,134.1140079498291,302,False,14.0,28.0,140
2,0.0001,304.11668491363525,1890,True,14.0,21.0,364
3,0.001,415.61280512809753,557,False,14.0,21.0,207
3,0.0001,367.1395671367645,599,True,14.0,21.0,143
1,0.01,40.729426860809326,593,True,14.0,14.0,346
1,0.001,42.657268047332764,442,False,14.0,70.0,209
3,0.001,353.17602920532227,1532,True,14.0,14.0,820
2,0.01,63.68158483505249,469,False,14.0,28.0,119
2,0.001,85.88519597053528,118,False,14.0,0.0,167
3,0.01,127.94791913032532,745,True,14.0,14.0,509
2,0.01,147.34793496131897,300,False,14.0,14.0,238
1,0.001,36.339684009552,241,False,14.0,14.0,165
2,0.01,168.15851998329163,2212,True,14.0,21.0,408
2,0.001,122.54189920425415,609,True,14.0,14.0,507
3,0.0001,351.87517285346985,375,False,14.0,14.0,536
1,0.001,34.32024002075195,154,False,14.0,14.0,177
2,0.01,130.2925009727478,2228,True,14.0,21.0,427
1,0.001,33.5429949760437,421,False,14.0,70.0,182
1,0.0001,29.405483961105347,322,False,14.0,14.0,237
2,0.0001,191.98948884010315,662,True,14.0,21.0,218
2,0.001,138.0551962852478,887,True,14.0,14.0,559
1,0.0001,36.76589226722717,1004,True,14.0,21.0,185
3,0.0001,588.23171210289,1385,True,14.0,21.0,272
3,0.01,118.23570895195007,406,False,14.0,28.0,175
2,0.01,166.89825296401978,2138,True,14.0,21.0,369
2,0.01,90.91448903083801,264,False,14.0,14.0,125
1,0.01,26.70038080215454,62,False,14.0,14.0,135
3,0.001,343.55765891075134,473,False,14.0,14.0,203
2,0.001,48.45894384384155,138,False,14.0,14.0,144
1,0.01,44.33596205711365,2054,True,14.0,21.0,377
1,0.001,40.176268100738525,975,True,14.0,14.0,687
2,0.01,68.76921701431274,377,False,14.0,42.0,143
2,0.0001,206.57858204841614,1061,True,14.0,14.0,844
2,0.01,58.79678916931152,154,False,14.0,21.0,210
2,0.001,131.7047119140625,1558,True,14.0,14.0,1406
