case,initial_state,steps,tol,time,optimal_cost,forest_cost,best_sol_prob
1,all,2,0.001,315.753662109375,59.783562450007075,59.783562450007075,4921
3,all,2,0.001,258.8946659564972,38.987365421177195,38.987365421177195,4500
6,"[2, 1, 0]",2,0.001,125.49204802513123,28.90110745603984,28.90110745603984,10000
0,"[2, 1, 0]",2,0.001,125.5620641708374,21.599290195096653,21.599290195096653,10000
7,"[2, 0, 1]",2,0.001,165.77901697158813,32.82614709104614,32.82614709104614,10000
4,"[2, 0, 1]",2,0.001,145.83817386627197,13.054040023756544,13.054040023756544,10000
3,"[2, 1, 0]",2,0.001,92.37085318565369,35.62924316444045,35.62924316444045,2724
1,"[2, 0, 1]",2,0.001,120.04378819465637,23.019290398192737,23.019290398192737,10000
6,"[2, 1, 0]",2,0.001,121.87627816200256,11.156494782673292,11.156494782673292,10000
1,"[2, 1, 0]",2,0.001,137.72114396095276,59.707971630659046,59.707971630659046,10000
6,"[2, 1, 0]",2,0.001,142.21696209907532,50.73711572685437,50.73711572685437,10000
8,"[2, 1, 0]",2,0.001,147.69300317764282,10.234818709997882,10.234818709997882,10000
5,all,2,0.001,175.63702297210693,3.912530371654399,3.912530371654399,1723
5,"[2, 0, 1]",2,0.001,102.2702751159668,3.8884813322211396,3.88848133222114,6394
7,all,2,0.001,685.6846311092377,13.862875316799625,13.891724288167413,3650
0,"[2, 1, 0]",2,0.001,181.6634349822998,46.275311448549914,46.275311448549914,10000
2,all,2,0.001,198.8089439868927,8.88446654675702,8.88446654675702,4304
5,all,2,0.001,178.31106805801392,8.250666696434232,8.250666696434232,1709
2,"[2, 0, 1]",2,0.001,144.53351092338562,17.338551956998494,17.338551956998494,9998
3,"[2, 0, 1]",2,0.001,195.78214025497437,35.49375556775744,35.49375556775744,10000
7,"[2, 0, 1]",2,0.001,158.88200211524963,2.875463211602156,2.8814471185453363,9971
7,"[2, 1, 0]",2,0.001,138.46454191207886,60.75495741277426,60.88138991590211,6188
5,"[2, 1, 0]",2,0.001,98.84232902526855,3.9047911916280698,3.9047911916280698,3817
8,"[2, 0, 1]",2,0.001,135.8629138469696,5.480369592468364,5.480369592468364,10000
4,all,2,0.001,177.69208812713623,22.514215528336152,24.765637081169768,5405
4,all,2,0.001,531.4582130908966,2.373844644508755,2.373844644508755,5995
3,"[2, 0, 1]",2,0.001,112.83182907104492,3.3855500381316963,3.3855500381316963,9999
4,all,2,0.001,794.315248966217,18.559543357295397,18.559543357295397,4386
8,all,2,0.001,350.9329979419708,7.308312910083095,7.308312910083095,5909
6,"[2, 0, 1]",2,0.001,128.58988976478577,4.047332382990932,4.047332382990932,10000
5,all,2,0.001,168.414235830307,1.3539884923564047,1.3539884923564052,1702
1,all,2,0.001,348.2543706893921,97.44984911809783,97.44984911809783,5048
7,all,2,0.001,189.42484307289124,70.20385712674073,70.20385712674073,4026
4,"[2, 0, 1]",2,0.001,156.5019998550415,24.661609033704792,24.661609033704792,10000
6,"[2, 1, 0]",2,0.001,159.2153890132904,3.234434462587895,3.234434462587895,3346
0,"[2, 0, 1]",2,0.001,134.1648678779602,57.29132701530045,57.29132701530045,10000
7,all,2,0.001,197.14961004257202,40.94309858171821,41.02830213810172,3894
6,all,2,0.001,435.19654512405396,45.959947390682046,45.959947390682046,5015
3,"[2, 1, 0]",2,0.001,105.28887724876404,29.101900608901452,29.101900608901452,9999
1,"[2, 0, 1]",2,0.001,126.65532302856445,60.83301308779834,60.83301308779834,10000
6,"[2, 0, 1]",2,0.001,136.45355796813965,22.79107975217536,22.79107975217536,10000
6,"[2, 0, 1]",2,0.001,161.80283498764038,15.479746827967524,15.479746827967524,10000
8,"[2, 0, 1]",2,0.001,143.53343200683594,3.579132861062541,3.579132861062541,10000
5,"[2, 0, 1]",2,0.001,90.01130318641663,2.105632975069176,2.105632975069176,6399
4,all,2,0.001,330.079617023468,14.129683226453075,14.129683226453075,4924
8,all,2,0.001,182.42906308174133,7.7910340810539624,7.7910340810539624,5338
6,all,2,0.001,343.48954820632935,48.9026972273043,48.9026972273043,5098
5,all,2,0.001,170.67674708366394,0.7751881248375447,0.7751881248375447,1747
7,all,2,0.001,425.0944273471832,74.21459775016169,74.21459775016169,4078
7,"[2, 0, 1]",2,0.001,149.6397910118103,61.09992727422692,61.22707766779441,9976
2,all,2,0.001,478.7405529022217,78.09692798108958,78.09692798108958,5029
8,"[2, 0, 1]",2,0.001,136.4255518913269,11.534166566471797,11.534166566471797,10000
8,"[2, 0, 1]",2,0.001,118.85064578056335,11.125967184634808,11.125967184634808,10000
6,all,2,0.001,455.1102101802826,42.63143366573425,42.63143366573425,5019
5,"[2, 1, 0]",2,0.001,93.74396514892578,6.123370326747091,6.123370326747091,5358
1,"[2, 1, 0]",2,0.001,127.68844628334045,32.24552221010165,32.24552221010165,10000
4,"[2, 1, 0]",2,0.001,135.54578685760498,32.21714046284904,32.21714046284904,10000
2,all,2,0.001,420.2335789203644,32.601886718675175,32.601886718675175,5007
1,all,2,0.001,163.6269257068634,23.42068511694592,23.42068511694592,4847
5,"[2, 0, 1]",2,0.001,103.85702466964722,6.906224538142238,6.906224538142238,6981
0,all,2,0.001,240.6848018169403,41.618836037343144,41.618836037343144,5008
1,all,2,0.001,289.4222719669342,74.97804983679433,74.97804983679433,5006
8,"[2, 0, 1]",2,0.001,130.99486684799194,10.707850714750325,10.707850714750325,10000
5,all,2,0.001,128.09116411209106,8.451347728201807,8.451347728201807,1707
6,"[2, 1, 0]",2,0.001,126.30796909332275,23.321442911626992,23.321442911626992,10000
1,all,2,0.001,443.90743708610535,68.69616948076884,68.69616948076884,5007
4,"[2, 0, 1]",2,0.001,124.7511727809906,6.161421118559046,6.161421118559046,9999
1,"[2, 1, 0]",2,0.001,135.52715015411377,98.4053399233351,98.4053399233351,10000
6,"[2, 1, 0]",2,0.001,128.90835905075073,23.75718148959784,23.75718148959784,10000
7,"[2, 1, 0]",2,0.001,130.2384512424469,21.482908309407215,21.527614749633496,10000
4,"[2, 0, 1]",2,0.001,181.83195996284485,48.60843363375592,48.60843363375592,4157
5,"[2, 0, 1]",2,0.001,114.23974704742432,5.429132345283041,5.429132345283042,9677
1,"[2, 0, 1]",2,0.001,113.2524778842926,39.88288168128928,39.88288168128928,9999
1,all,2,0.001,379.70278310775757,99.12028205571836,99.12028205571836,5049
7,"[2, 1, 0]",2,0.001,99.3282721042633,39.85835565745599,39.85835565745599,9995
0,"[2, 0, 1]",2,0.001,118.63542890548706,96.41671596335316,96.41671596335316,9999
4,"[2, 1, 0]",2,0.001,134.44633412361145,32.0128784236138,32.0128784236138,10000
7,"[2, 1, 0]",2,0.001,191.87312507629395,13.398555722674494,13.398555722674494,10000
3,all,2,0.001,672.8994081020355,41.92817615186537,41.92817615186537,4985
7,all,2,0.001,178.8782091140747,13.435457619363593,13.463417124395312,3502
2,all,2,0.001,1013.1868691444397,0.19760495761567143,0.19760495761567143,4923
6,all,2,0.001,250.93705487251282,14.896362965591885,14.896362965591885,5052
